oshpd_id,oshpd_id9,fac_id,FAC_NAME,FAC_ADDRESS_ONE,FAC_CITY,FAC_ZIPCODE,TRAUMA_CTR,TEACH_HOSP,MED_SVC_STUDY_AREA,LACO_SVC_PLAN_AREA,HEALTH_SVC_AREA,COUNTY,TYPE_LIC,TYPE_CNTRL,TYPE_SVC_PRINCIPAL,GAC_BED_LIC_SUBTOTL,ED_LIC_LEVL_BEGIN,Sex_Female,Sex_Male,Sex_Unknown,Sex_Other,Age_01_09,Age_10_19,Age_20_29,Age_30_39,Age_40_49,Age_50_59,Age_60_69,Age_70_79,Age_80_,Age_Under_1,Age_Unknown,Asian_Pacific_Island,Black,Hispanic,Native_American_Eski,Other_Race,Unknown_Race,White,Acute_Care,Against_Medical_Advice,Died,Home_Health_Service,Other_Care,Residential_Care_Facility,Routine,SN_IC_Care,Hospice_Care,Psychiatric_Care,Critical_Access_Hospital,Prison_Jail,Not_Defined_Elsewhere,Other_Invalid_Blank,Medi_Cal,Medicare,Other_Payer,Private_Coverage,Uninsured,Dx_All_Pregnancies,Dx_Births,Dx_Blood_Bloodforming_organs,Dx_Circulatory,Dx_Congenital_anomalies,Dx_Digestive,Dx_Endocrine_Metabolism,Dx_Genitourinary,Dx_Infections,Dx_Injuries_Drugs_Complications,Dx_Musculoskeletal,Dx_Neoplasms,Dx_Nervous_Sensory_Systems,Dx_Other_Reasons,Dx_Perinatal_disorders,Dx_Psychoses_Neuroses,Dx_Respiratory,Dx_Skin_disorders,Dx_Symptoms,EC_Accidental_Falls,EC_Accidental_Poisoning,EC_Adverse_Effects_of_Drugs,EC_Fire_Accidents,EC_Inflicted_by_Others,EC_Late_Effects_of_Injury,EC_Misadventures_Complication,EC_Natural_Environment,EC_None,EC_Other_Accidents,EC_Other_Vehicle_Transport,EC_Rail_Motor_Vehicle,EC_Self_Inflicted,EC_Submersion_Suffocation_Foreig,EC_Undetermined,EC_War,ED_Visit,a_Sex_Female,a_Sex_Male,a_Sex_Unknown,a_sex_Other,a_Age_10_19,a_Age_20_29,a_Age_30_39,a_Age_40_49,a_Age_50_59,a_Age_60_69,a_Age_70_79,a_Age_80_,a_Age_Under_1,a_Age_01_09,a_Age_Unknown,a_Asian_Pacific_Isla,a_Black,a_Hispanic,a_Native_American_Es,a_Other_Race,a_Unknown_Race,a_White,a_Acute_Care,a_Against_Medical_Advice,a_Died,a_Home_Health_Service,a_Other_Care,a_Other_Invalid_Blank,a_Residential_Care_Facility,a_Routine,a_SN_IC_Care,a_Prison_Jail,a_Hospice_Care,a_Psychiatric_Care,a_Childrens_or_Cancer_Center,a_Critical_Access_Hospital,a_Not_Defined_Elsewhere,a_Medi_Cal,a_Medicare,a_Private_Coverage,a_Uninsured,a_Other_Payer,a_Dx_All_Pregnancies,a_Dx_Blood_Bloodforming_organs,a_Dx_Circulatory,a_Dx_Congenital_anomalies,a_Dx_Digestive,a_Dx_Endocrine_Metabolism,a_Dx_Genitourinary,a_Dx_Infections,a_Dx_Injuries_Drugs_Complication,a_Dx_Musculoskeletal,a_Dx_Neoplasms,a_Dx_Nervous_Sensory_Systems,a_Dx_Other_Reasons,a_Dx_Psychoses_Neuroses,a_Dx_Respiratory,a_Dx_Skin_disorders,a_Dx_Symptoms,a_Dx_Births,a_Dx_Perinatal_disorders,a_EC_Accidental_Falls,a_EC_Accidental_Poisoning,a_EC_Adverse_Effects_of_Drugs,a_EC_Inflicted_by_Others,a_EC_Late_Effects_of_Injury,a_EC_Misadventures_Complication,a_EC_Natural_Environment,a_EC_None,a_EC_Other_Accidents,a_EC_Other_Vehicle_Transport,a_EC_Rail_Motor_Vehicle,a_EC_Self_Inflicted,a_EC_Submersion_Suffocation_Fore,a_EC_Undetermined,a_EC_Fire_Accidents,a_EC_War,Inpatient_from_ED,datayear
106010735,106010735,010735,ALAMEDA HOSPITAL,2070 CLINTON,ALAMEDA,94501,,NO, 2e,, 05 - East Bay, Alameda,General Acute Care,District,General Medical / Surgical,100,Basic,8525,6446,,,815,1375,2725,2353,2471,2196,1068,815,1055,98,,1473,2771,158,16,3272,176,7105,378,375,34,,,1,13847,193,,,0,0,,143,1308,2659,2825,5439,2740,266,2,21,345,1,779,187,696,308,4053,972,17,1089,718,,477,1403,862,2775,1322,58,136,11,238,8,1,206,10251,2062,86,428,36,127,1,,14971,1372,997,,,22,87,77,203,338,322,401,919,,,,332,347,70,1,246,16,1357,99,30,116,243,19,16,30,1112,703,1,0,0,0,0,0,280,1509,436,135,9,10,58,574,,319,84,157,235,197,21,67,25,3,19,347,79,174,,,141,15,65,1,5,55,7,2046,8,2,7,13,4,,,,2369,2007
106010739,106010739,010739,ALTA BATES SUMMIT MED CTR-ALTA BATES CAMPUS,2450 ASHBY STREET,BERKELEY,94705,,NO, 2b,, 05 - East Bay, Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,347,Basic,20206,14390,,,487,2916,7583,5953,5909,5252,2762,1604,1879,251,,2257,12966,2894,44,2481,221,13733,184,130,43,2,8,6,32674,71,,1444,0,0,29,5,7870,5525,2011,13737,5453,1752,,288,863,7,1708,485,2149,850,8131,2181,71,1763,1175,22,2585,2692,1660,6214,2034,183,232,21,540,68,4,324,25970,3611,288,944,178,183,16,,34596,3788,2979,,1,95,496,568,726,1050,1007,1109,1704,13,,,501,2514,435,11,263,29,3015,113,121,261,1022,291,27,26,3989,916,2,0,0,0,0,0,1020,3786,1487,411,64,212,200,1415,2,1021,334,342,417,670,144,233,204,8,64,777,200,512,5,8,342,48,538,19,32,3,17,5573,89,13,30,39,17,6,2,,6768,2007
106010776,106010776,010776,CHILDRENS HOSPITAL AND RESEARCH CTR AT OAKLAND,747 52ND STREET,OAKLAND,94609,Level I - Pediatric,NO, 2c,, 05 - East Bay, Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),Pediatric,190,Basic,21548,23909,,,26452,10320,275,89,53,25,11,2,2,8228,,2041,16851,15343,39,6760,244,4179,302,587,12,,,,44465,,,,0,0,,91,31026,12,2078,8995,3346,11,,238,84,84,2811,357,1143,4066,8903,986,28,4127,856,171,425,8309,2310,10548,4015,199,65,3,403,13,134,411,35912,3087,317,412,11,453,22,,45457,3217,4020,,,1655,30,,,,,,,2128,3424,,393,1771,2466,5,1302,61,1239,59,11,17,2,30,,3,7110,3,2,0,0,0,0,0,3969,2,2057,91,1118,,257,64,108,750,373,379,518,941,108,58,256,22,23,2377,339,413,3,248,177,28,144,39,5,4,14,6524,81,20,101,15,81,4,,,7237,2007
106010805,106010805,010805,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,94546,Level II,NO, 2f,, 05 - East Bay, Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,155,Basic,12969,10607,,,1896,2289,4114,3375,3972,2921,1561,1233,1739,475,1,1478,4105,3688,83,865,70,13287,812,272,113,21,10,,21979,,2,358,0,0,,9,4674,4801,712,9007,4382,618,,113,514,1,1270,355,1339,565,6123,1476,38,1731,818,29,1289,2193,1319,3785,1763,151,221,19,556,51,32,202,16835,2187,142,1178,84,136,19,,23576,2746,2731,,,160,426,432,678,847,725,707,1497,5,,,432,632,680,11,57,2,3663,251,67,257,524,313,13,113,3050,867,22,0,0,0,0,0,850,2813,1185,484,145,70,50,937,1,630,194,333,341,1285,96,141,114,11,334,601,95,239,2,3,503,45,333,159,21,44,10,3734,89,41,425,55,10,8,,,5477,2007
106010844,106010844,010844,ALTA BATES SUMMIT MED CTR-HERRICK CAMPUS,2001 DWIGHT WAY,BERKELEY,94704,,NO, 2a,, 05 - East Bay, Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),Psychiatric,42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,5,,,,,3,6,2,2,1,,,,,,4,1,,1,,8,,1,,,,1,1,11,,,0,0,0,0,0,,14,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,13,1,,,,,,,,14,2007
106010846,106010846,010846,ALAMEDA CO MED CTR - HIGHLAND CAMPUS,1411 EAST 31ST STREET,OAKLAND,94602,Level II,YES, 2c,, 05 - East Bay, Alameda,General Acute Care,City and/or County,General Medical / Surgical,236,Basic,25008,31203,,,519,3204,12738,10724,12358,11304,3887,889,439,149,,3119,25667,13849,170,5189,149,8068,1436,4622,162,8,2,3,49795,126,,,0,0,,57,12043,3288,23023,3046,14811,746,,184,1558,16,2474,1245,2862,1230,7807,5661,212,2633,9131,9,1884,3494,3535,11530,1714,103,197,32,2267,159,241,213,46427,2819,208,1410,208,127,86,,56211,3108,4630,,,258,1037,1025,1565,1970,1054,458,369,2,,,775,3486,1715,25,474,15,1248,365,130,232,89,402,24,87,5985,276,148,0,0,0,0,0,3615,1376,318,2278,151,156,106,1243,4,1002,342,314,309,1240,173,232,178,134,598,723,427,557,,,301,49,288,453,80,304,19,5636,116,31,329,92,9,21,10,,7738,2007
106010856,106010856,010856,KAISER FND HOSP - OAKLAND CAMPUS,280 W. MACARTHUR BOULEVARD,OAKLAND, 94611-5693,,NO, 2b,, 05 - East Bay, Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,341,Basic,18333,15179,10,,2747,3317,5303,4860,4906,4726,3047,2001,2088,526,1,2815,13105,4760,61,994,2069,9718,134,585,27,50,10,3,31985,48,22,247,20,0,316,75,1807,5011,467,22485,3752,378,,181,670,5,1221,480,1241,383,9945,1956,48,1058,2408,6,1143,1790,1102,9507,530,1,3,7,255,,,57,31617,161,66,788,9,14,14,,33522,4152,3423,,,172,289,411,639,1154,1207,1373,2134,70,126,,725,3204,688,13,135,76,2734,241,75,287,70,138,15,49,6003,693,4,0,0,0,0,0,291,3941,3132,180,31,79,130,1646,4,1104,375,542,372,719,183,251,182,9,107,825,253,773,1,20,425,45,634,12,11,,18,6235,104,15,35,21,16,2,2,,7575,2007
106010858,106010858,010858,KAISER FND HOSP - HAYWARD,27400 HESPERIAN BOULEVARD,HAYWARD,94545,,NO, 2g,, 05 - East Bay, Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,210,Basic,16122,11674,7,,2408,2201,3992,3837,4095,3745,2294,2139,2400,691,1,4086,4381,7469,115,1436,1446,8870,174,382,46,60,38,65,25853,113,6,271,26,0,245,524,1708,5565,76,18177,2277,418,,147,965,1,1719,558,1626,388,3592,1295,68,947,931,13,1193,2073,577,11292,352,9,1,8,134,1,,16,26793,83,8,383,3,,12,,27803,3314,2839,1,,162,239,341,533,976,832,1164,1608,101,198,,903,805,1166,23,50,16,3191,281,58,345,422,42,90,96,3827,992,1,0,0,0,0,0,199,3108,2766,71,10,97,66,1097,2,1131,297,402,440,558,96,191,84,9,84,911,152,521,2,14,282,34,529,12,11,,17,5115,72,5,22,35,10,5,5,,6154,2007
106010937,106010937,010937,ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-HAWTHORNE,350 HAWTHORNE AVENUE,OAKLAND,94609,,NO, 2m,, 05 - East Bay, Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,337,Basic,18084,12176,,,223,1508,5739,4994,5786,5415,2692,1804,2062,36,1,2554,18232,2005,39,1490,284,5656,275,283,67,11,5,28,28700,425,,448,0,0,18,,9984,6329,1849,6721,5377,818,3,250,818,4,1700,744,1895,821,6104,2290,75,1901,1250,1,1461,2945,1638,5542,1674,84,150,24,731,52,9,185,23655,2413,104,981,52,121,25,,30260,4314,3511,,,23,211,438,810,1311,1273,1435,2324,,,,1319,3843,447,7,221,67,1921,67,124,358,1250,138,6,60,4112,1709,1,0,0,0,0,0,1455,4808,1063,387,112,25,165,1758,5,984,493,408,546,679,166,233,150,12,96,1122,219,764,,,353,96,349,15,6,7,12,6869,63,3,23,18,10,,1,,7825,2007
106010967,106010967,010967,ST. ROSE HOSPITAL,27200 CALAROGA AVENUE,HAYWARD,94545,,NO, 2g,, 05 - East Bay, Alameda,General Acute Care,Non-Profit Corporation (incl. Church-related),General Medical / Surgical,141,Basic,17673,13950,1,,4924,3481,6622,4774,4446,2888,1422,891,741,1432,3,2572,6587,11025,93,4631,2,6714,124,929,42,,1,,29568,42,,89,0,0,46,783,14684,3180,993,12767,,1200,1,59,434,3,1482,365,1845,1307,6476,1581,34,2557,1400,74,1075,3769,1801,6161,1870,102,204,10,588,48,6,225,24219,3194,103,766,84,191,14,,31624,2964,2317,,,88,357,415,721,964,848,804,1082,2,,,1097,812,1137,2,175,,2058,130,133,186,128,110,29,185,3458,915,7,0,0,0,0,0,1530,2368,695,621,67,106,62,1007,4,887,283,258,337,501,123,117,71,19,50,822,125,507,1,1,236,44,326,17,25,59,22,4319,129,2,22,36,32,12,,,5281,2007
