This file contains a list of stations that provided input data to the PRISM run that produced the grid associated with this stn.csv file.
Station,Name,Longitude,Latitude,Elevation(m),Network,station_id
"AFTY","AFTON",-110.9358,42.7333,1893,"AGRIMET","2"
"AHTI","ASHTON",-111.4667,44.0250,1615,"AGRIMET","4"
"BANO","BANDON",-124.4172,43.0911,24,"AGRIMET","6"
"CEDC","CEDARVILLE",-120.1714,41.5853,1402,"AGRIMET","13"
"CHVO","CHRISTMAS VA",-120.7281,43.2414,1329,"AGRIMET","15"
"COVM","CORVALLIS",-114.0833,46.3333,1096,"AGRIMET","17"
"CRSM","CRESTON",-114.1278,48.1875,899,"AGRIMET","18"
"DEFO","DEE FLAT",-121.6472,45.5736,384,"AGRIMET","20"
"ECHO","ECHO",-119.3500,45.7111,232,"AGRIMET","24"
"FAFI","FAIRFIELD",-114.8250,43.3083,1536,"AGRIMET","26"
"GERW","GEORGE",-119.6422,47.0439,351,"AGRIMET","32"
"HERO","HERMISTON",-119.5122,45.8211,168,"AGRIMET","36"
"HOXO","HOOD RIVER",-121.5181,45.6844,155,"AGRIMET","37"
"HRHW","HARRAH",-120.5744,46.3847,259,"AGRIMET","39"
"LAKO","LAKEVIEW",-120.5231,42.1222,1454,"AGRIMET","45"
"LEGW","LEGROW",-118.9361,46.2053,177,"AGRIMET","47"
"LIDW","LIND",-118.7394,46.8672,450,"AGRIMET","48"
"MALI","MALTA",-113.4139,42.4375,1344,"AGRIMET","51"
"MDFO","MEDFORD",-122.9378,42.3311,408,"AGRIMET","53"
"MRSO","MADRAS",-121.1486,44.6800,744,"AGRIMET","55"
"ODSW","ODESSA",-118.8786,47.3089,503,"AGRIMET","57"
"OMAW","OMAK",-119.5761,48.4025,376,"AGRIMET","58"
"PARO","PARKDALE",-121.6167,45.5444,451,"AGRIMET","60"
"PCYO","PRAIRIE CITY",-118.6278,44.4408,1144,"AGRIMET","61"
"PICI","PICABO",-114.1658,43.3117,1494,"AGRIMET","62"
"PMAI","PARMA",-116.9333,43.8000,703,"AGRIMET","63"
"PNGO","PINEGROVE",-121.5056,45.6500,189,"AGRIMET","64"
"RDBM","ROUNDBUTTE",-114.2806,47.5394,927,"AGRIMET","66"
"RPTI","RUPERT",-113.8381,42.5950,1266,"AGRIMET","67"
"RXGI","REXBURG",-111.7667,43.8500,1486,"AGRIMET","69"
"CMBB","CHATHAM BROW",-74.4167,45.6167,75,"ASOS","129"
"CWAJ","ERIEAU (MAPS",-81.9000,42.2500,178,"ASOS","174"
"CWBE","KILLARNEY (M",-81.4800,45.9700,196,"ASOS","184"
"CWCI","CARIBOU ISL",-85.8300,47.3300,187,"ASOS","205"
"CWDV","UPSALA (MARS",-90.4700,49.0300,489,"ASOS","237"
"CWEH","EASTEND CYPR",-108.9800,49.4300,1078,"ASOS","245"
"CWGD","GODERICH (AU",-81.7200,43.7700,214,"ASOS","280"
"CWGN","GRETNA (MARS",-97.5700,49.0300,251,"ASOS","286"
"CWNC","COBOURG (MAR",-78.1700,43.9500,78,"ASOS","407"
"CWNH","RIVIERE DU L",-69.5500,47.8000,148,"ASOS","410"
"CWPS","LONG POINT (",-80.0500,42.5700,175,"ASOS","450"
"CWSS","ST. STEPHEN",-67.2500,45.2000,26,"ASOS","505"
"CWWZ","PORT WELLER",-79.2200,43.2500,79,"ASOS","570"
"CYBG","BAGOTVILLE(C",-71.0000,48.3300,159,"ASOS","720"
"CYBR","BRANDON AIRP",-99.9500,49.9200,409,"ASOS","724"
"CYEN","ESTEVAN AIRP",-102.9700,49.2200,581,"ASOS","754"
"CYFC","FREDERICTON",-66.5300,45.8700,20,"ASOS","759"
"CYGQ","GERALDTON AI",-86.9300,49.7800,351,"ASOS","770"
"CYPG","PORTAGE SOUT",-98.2700,49.9000,269,"ASOS","837"
"CYQG","WINDSOR AIRP",-82.9700,42.2700,190,"ASOS","852"
"CYQK","KENORA AIRPO",-94.3700,49.7800,411,"ASOS","855"
"CYQQ","COMOX (CAN-M",-124.9000,49.7200,24,"ASOS","858"
"CYQT","THUNDER BAY",-89.3200,48.3700,199,"ASOS","860"
"CYSB","SUDBURY AIRP",-80.8000,46.6200,348,"ASOS","875"
"CYSL","SAINT LEONAR",-67.8300,47.1500,241,"ASOS","881"
"CYTR","TRENTON (CAN",-77.5300,44.1200,86,"ASOS","894"
"CYTS","TIMMINS AIRP",-81.3700,48.5700,295,"ASOS","895"
"CYUY","ROUYN AIRPOR",-78.8300,48.2000,301,"ASOS","908"
"CYVO","VAL D'OR AIR",-77.7800,48.0700,337,"ASOS","911"
"CYVR","VANCOUVER IN",-123.1700,49.1800,2,"ASOS","914"
"CYVV","WIARTON AIRP",-81.1000,44.7500,222,"ASOS","916"
"CYWG","WINNIPEG INT",-97.2300,49.9000,239,"ASOS","918"
"CYXC","CRANBROOK AI",-115.7800,49.6000,939,"ASOS","926"
"CYXU","LONDON AIRPO",-81.1500,43.0300,278,"ASOS","938"
"CYXX","ABBOTSFORD A",-122.3700,49.0300,58,"ASOS","939"
"CYYB","NORTH BAY AI",-79.4300,46.3500,371,"ASOS","942"
"CYYF","PENTICTON AI",-119.6000,49.4700,344,"ASOS","946"
"CYYJ","VICTORIA INT",-123.4300,48.6500,19,"ASOS","949"
"CYYU","KAPUSKASING",-82.4700,49.4200,227,"ASOS","955"
"CYYY","MONT JOLI AI",-68.2200,48.6000,52,"ASOS","957"
"CYYZ","TORONTO/PEAR",-79.6300,43.6700,173,"ASOS","958"
"CYZE","GORE BAY AIR",-82.5700,45.8800,193,"ASOS","959"
"CZPC","PINCHER CREE",-114.0000,49.5200,1190,"ASOS","993"
"K1K5","ELKHART / EL",-101.8833,37.0000,1102,"ASOS","2310"
"K2C2","WHITE SANDS",-106.4833,32.3833,1244,"ASOS","2360"
"K2WX","BUFFALO (AMO",-103.5464,45.6044,915,"ASOS","2382"
"K5L8","LONG BEACH",-118.1667,33.7667,3,"ASOS","2522"
"K87Q","PT PIEDRAS(C",-121.2847,35.6656,17,"ASOS","2599"
"K9V9","CHAMBERLAIN",-99.3183,43.7667,516,"ASOS","2657"
"KAAF","APALACHICOLA",-85.0247,29.7269,6,"ASOS","2661"
"KABE","ALLENTOWN-BE",-75.4492,40.6508,120,"ASOS","2664"
